id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position,p,fold-change
151772,"endothelial cell surface expressed chemotaxis and apoptosis regulator",151772,"ECSCR","endothelial cell surface expressed chemotaxis and apoptosis regulator",641700,"5","n/a","n/a","5.24e-44","26.013"
1622,"decorin",1622,"DCN","decorin",1634,"12","n/a","n/a","2.68e-35","25.643"
40756,"EGF, latrophilin and seven transmembrane domain containing 1",40756,"ELTD1","EGF, latrophilin and seven transmembrane domain containing 1",64123,"1","n/a","n/a","7.57e-48","25.493"
2319,"fibronectin 1",2319,"FN1","fibronectin 1",2335,"2","n/a","n/a","2.65e-35","24.093"
22552,"nidogen 2 (osteonidogen)",22552,"NID2","nidogen 2 (osteonidogen)",22795,"14","n/a","n/a","2.88e-44","23.908"
58899,"cytochrome c oxidase subunit IV isoform 2 (lung)",58899,"COX4I2","cytochrome c oxidase subunit IV isoform 2 (lung)",84701,"20","n/a","n/a","3.18e-29","22.842"
282,"angiopoietin 2",282,"ANGPT2","angiopoietin 2",285,"8","n/a","n/a","9.78e-46","22.525"
69,"actin, gamma 2, smooth muscle, enteric",69,"ACTG2","actin, gamma 2, smooth muscle, enteric",72,"2","n/a","n/a","1.99e-15","22.462"
10059,"myelin protein zero-like 2",10059,"MPZL2","myelin protein zero-like 2",10205,"11","n/a","n/a","6.33e-30","22.044"
1268,"collagen, type I, alpha 1",1268,"COL1A1","collagen, type I, alpha 1",1277,"17","n/a","n/a","1.34e-13","21.900"
181486,"microseminoprotein, prostate associated",181486,"MSMP","microseminoprotein, prostate associated",692094,"9","n/a","n/a","4.20e-15","21.624"
77773,"transmembrane 4 L six family member 18",77773,"TM4SF18","transmembrane 4 L six family member 18",116441,"3","n/a","n/a","9.23e-48","20.357"
1269,"collagen, type I, alpha 2",1269,"COL1A2","collagen, type I, alpha 2",1278,"7","n/a","n/a","9.09e-22","20.004"
4404,"myosin IB",4404,"MYO1B","myosin IB",4430,"2","n/a","n/a","1.20e-48","19.918"
1019394,"uncharacterized LOC100287562",1019394,"LOC100287562","uncharacterized LOC100287562",100287562,"17","n/a","n/a","4.68e-43","19.817"
36204,"latexin",36204,"LXN","latexin",56925,"3","n/a","n/a","1.33e-28","19.623"
79529,"chromosome 4 open reading frame 32",79529,"C4orf32","chromosome 4 open reading frame 32",132720,"4","n/a","n/a","2.93e-41","19.149"
57727,"plasmalemma vesicle associated protein",57727,"PLVAP","plasmalemma vesicle associated protein",83483,"19","n/a","n/a","2.60e-17","19.140"
1000835,"uncharacterized LOC100130938",1000835,"LOC100130938","uncharacterized LOC100130938",100130938,"18","n/a","n/a","1.12e-23","19.007"
5143,"platelet/endothelial cell adhesion molecule 1",5143,"PECAM1","platelet/endothelial cell adhesion molecule 1",5175,"17","n/a","n/a","1.63e-53","18.668"
4780,"nidogen 1",4780,"NID1","nidogen 1",4811,"1","n/a","n/a","1.80e-54","18.514"
9315,"integral membrane protein 2A",9315,"ITM2A","integral membrane protein 2A",9452,"X","n/a","n/a","1.86e-24","18.496"
2685,"gap junction protein, alpha 4, 37kDa",2685,"GJA4","gap junction protein, alpha 4, 37kDa",2701,"1","n/a","n/a","1.99e-25","18.146"
80965,"solute carrier family 38, member 11",80965,"SLC38A11","solute carrier family 38, member 11",151258,"2","n/a","n/a","3.11e-19","17.952"
1890,"sphingosine-1-phosphate receptor 3",1890,"S1PR3","sphingosine-1-phosphate receptor 3",1903,"9","n/a","n/a","3.00e-46","17.870"
4807,"nodal homolog (mouse)",4807,"NODAL","nodal homolog (mouse)",4838,"10","n/a","n/a","5.24e-12","17.838"
81491,"C-type lectin domain family 14, member A",81491,"CLEC14A","C-type lectin domain family 14, member A",161198,"14","n/a","n/a","2.86e-46","17.817"
85748,"G protein-coupled receptor 116",85748,"GPR116","G protein-coupled receptor 116",221395,"6","n/a","n/a","2.17e-53","17.761"
55978,"myc target 1",55978,"MYCT1","myc target 1",80177,"6","n/a","n/a","3.01e-45","17.698"
6957,"tryptophan 2,3-dioxygenase",6957,"TDO2","tryptophan 2,3-dioxygenase",6999,"4","n/a","n/a","7.29e-17","17.619"
2305,"fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)",2305,"FLT1","fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)",2321,"13","n/a","n/a","1.78e-36","17.611"
55642,"coiled-coil domain containing 102B",55642,"CCDC102B","coiled-coil domain containing 102B",79839,"18","n/a","n/a","3.03e-28","17.258"
81396,"chondrosarcoma associated gene 1",81396,"CSAG1","chondrosarcoma associated gene 1",158511,"X","n/a","n/a","4.13e-15","17.213"
77746,"cysteine/tyrosine-rich 1",77746,"CYYR1","cysteine/tyrosine-rich 1",116159,"21","n/a","n/a","2.73e-56","17.142"
151961,"uncharacterized LOC541471",151961,"LOC541471","uncharacterized LOC541471",541471,"2","n/a","n/a","3.79e-32","17.115"
5127,"platelet-derived growth factor receptor, beta polypeptide",5127,"PDGFRB","platelet-derived growth factor receptor, beta polypeptide",5159,"5","n/a","n/a","1.35e-47","16.895"
36402,"CD248 molecule, endosialin",36402,"CD248","CD248 molecule, endosialin",57124,"11","n/a","n/a","4.32e-25","16.672"
59988,"endothelial cell adhesion molecule",59988,"ESAM","endothelial cell adhesion molecule",90952,"11","n/a","n/a","6.95e-39","16.643"
9320,"four and a half LIM domains 5",9320,"FHL5","four and a half LIM domains 5",9457,"6","n/a","n/a","2.70e-20","16.538"
26247,"pleckstrin 2",26247,"PLEK2","pleckstrin 2",26499,"14","n/a","n/a","1.65e-19","16.373"
8481,"ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)",8481,"FCN3","ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)",8547,"1","n/a","n/a","2.97e-12","16.283"
7126,"tropomyosin 2 (beta)",7126,"TPM2","tropomyosin 2 (beta)",7169,"9","n/a","n/a","6.69e-35","16.272"
1281,"collagen, type V, alpha 2",1281,"COL5A2","collagen, type V, alpha 2",1290,"2","n/a","n/a","5.31e-44","16.247"
6836,"transgelin",6836,"TAGLN","transgelin",6876,"11","n/a","n/a","9.74e-29","16.209"
1275,"collagen, type IV, alpha 2",1275,"COL4A2","collagen, type IV, alpha 2",1284,"13","n/a","n/a","7.57e-31","16.087"
2774,"guanine nucleotide binding protein (G protein), gamma 11",2774,"GNG11","guanine nucleotide binding protein (G protein), gamma 11",2791,"7","n/a","n/a","4.67e-41","16.082"
4137,"melanoma cell adhesion molecule",4137,"MCAM","melanoma cell adhesion molecule",4162,"11","n/a","n/a","3.40e-35","15.936"
1867,"early B-cell factor 1",1867,"EBF1","early B-cell factor 1",1879,"5","n/a","n/a","2.53e-44","15.919"
7791,"peroxidasin homolog (Drosophila)",7791,"PXDN","peroxidasin homolog (Drosophila)",7837,"2","n/a","n/a","5.31e-36","15.861"
29997,"NADPH oxidase 4",29997,"NOX4","NADPH oxidase 4",50507,"11","n/a","n/a","1.63e-26","15.767"
9864,"potassium voltage-gated channel, Isk-related family, member 3",9864,"KCNE3","potassium voltage-gated channel, Isk-related family, member 3",10008,"11","n/a","n/a","6.95e-19","15.705"
3651,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",3651,"ITGA4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",3676,"2","n/a","n/a","1.39e-25","15.388"
9001,"PDZ and LIM domain 1",9001,"PDLIM1","PDZ and LIM domain 1",9124,"10","n/a","n/a","7.56e-27","15.377"
25885,"testis derived transcript (3 LIM domains)",25885,"TES","testis derived transcript (3 LIM domains)",26136,"7","n/a","n/a","7.51e-39","14.949"
26256,"hairy/enhancer-of-split related with YRPW motif-like",26256,"HEYL","hairy/enhancer-of-split related with YRPW motif-like",26508,"1","n/a","n/a","3.50e-39","14.853"
1502,"cathepsin K",1502,"CTSK","cathepsin K",1513,"1","n/a","n/a","1.91e-27","14.733"
2279,"forkhead box F2",2279,"FOXF2","forkhead box F2",2295,"6","n/a","n/a","2.84e-27","14.606"
11008,"follistatin-like 1",11008,"FSTL1","follistatin-like 1",11167,"3","n/a","n/a","2.08e-56","14.415"
3663,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",3663,"ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",3688,"10","n/a","n/a","3.87e-35","14.348"
85735,"family with sequence similarity 162, member B",85735,"FAM162B","family with sequence similarity 162, member B",221303,"6","n/a","n/a","9.47e-34","13.942"
2599,"leucine rich repeat containing 32",2599,"LRRC32","leucine rich repeat containing 32",2615,"11","n/a","n/a","4.94e-43","13.921"
7182,"transient receptor potential cation channel, subfamily C, member 6",7182,"TRPC6","transient receptor potential cation channel, subfamily C, member 6",7225,"11","n/a","n/a","3.36e-46","13.568"
10251,"myosin, light chain 9, regulatory",10251,"MYL9","myosin, light chain 9, regulatory",10398,"20","n/a","n/a","8.51e-24","13.515"
22671,"multimerin 1",22671,"MMRN1","multimerin 1",22915,"4","n/a","n/a","9.82e-17","13.459"
6553,"snail homolog 2 (Drosophila)",6553,"SNAI2","snail homolog 2 (Drosophila)",6591,"8","n/a","n/a","2.21e-46","13.449"
3467,"insulin-like growth factor binding protein 4",3467,"IGFBP4","insulin-like growth factor binding protein 4",3487,"17","n/a","n/a","1.73e-31","13.328"
85507,"placenta-specific 9",85507,"PLAC9","placenta-specific 9",219348,"10","n/a","n/a","8.76e-17","13.327"
2471,"frizzled-related protein",2471,"FRZB","frizzled-related protein",2487,"2","n/a","n/a","1.06e-30","13.282"
157121377,"uncharacterized LOC100505813",157121377,"LOC100505813","uncharacterized LOC100505813",100505813,"5","n/a","n/a","2.18e-42","13.245"
3766,"kinase insert domain receptor (a type III receptor tyrosine kinase)",3766,"KDR","kinase insert domain receptor (a type III receptor tyrosine kinase)",3791,"4","n/a","n/a","4.67e-56","13.045"
4231,"matrix Gla protein",4231,"MGP","matrix Gla protein",4256,"12","n/a","n/a","1.87e-13","12.989"
77692,"nitric oxide synthase trafficker",77692,"NOSTRIN","nitric oxide synthase trafficker",115677,"2","n/a","n/a","1.63e-37","12.884"
31185,"endomucin",31185,"EMCN","endomucin",51705,"4","n/a","n/a","7.64e-34","12.803"
77719,"collagen triple helix repeat containing 1",77719,"CTHRC1","collagen triple helix repeat containing 1",115908,"8","n/a","n/a","2.59e-35","12.794"
2965,"guanylate cyclase 1, soluble, alpha 3",2965,"GUCY1A3","guanylate cyclase 1, soluble, alpha 3",2982,"4","n/a","n/a","8.33e-33","12.732"
81748,"olfactomedin-like 2A",81748,"OLFML2A","olfactomedin-like 2A",169611,"9","n/a","n/a","8.40e-30","12.732"
3470,"insulin-like growth factor binding protein 7",3470,"IGFBP7","insulin-like growth factor binding protein 7",3490,"4","n/a","n/a","3.30e-42","12.724"
3887,"laminin, beta 1",3887,"LAMB1","laminin, beta 1",3912,"7","n/a","n/a","2.06e-45","12.709"
11098,"filamin A interacting protein 1-like",11098,"FILIP1L","filamin A interacting protein 1-like",11259,"3","n/a","n/a","4.68e-29","12.708"
10939,"protease, serine, 23",10939,"PRSS23","protease, serine, 23",11098,"11","n/a","n/a","1.99e-31","12.565"
2098,"v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)",2098,"ETS1","v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)",2113,"11","n/a","n/a","9.97e-46","12.373"
33801,"protocadherin 18",33801,"PCDH18","protocadherin 18",54510,"4","n/a","n/a","1.87e-36","12.166"
25627,"matrix-remodelling associated 5",25627,"MXRA5","matrix-remodelling associated 5",25878,"X","n/a","n/a","1.79e-21","12.008"
36403,"plexin domain containing 1",36403,"PLXDC1","plexin domain containing 1",57125,"17","n/a","n/a","3.67e-33","11.932"
9394,"glia maturation factor, gamma",9394,"GMFG","glia maturation factor, gamma",9535,"19","n/a","n/a","4.92e-40","11.829"
867,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)",867,"SERPINH1","serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)",871,"11","n/a","n/a","4.06e-40","11.819"
157126081,"uncharacterized LOC100652886",157126081,"LOC100652886","uncharacterized LOC100652886",100652886,"5","n/a","n/a","4.84e-25","11.767"
157122861,"uncharacterized LOC100506939",157122861,"LOC100506939","uncharacterized LOC100506939",100506939,"10","n/a","n/a","9.97e-24","11.718"
36180,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2",36180,"NDUFA4L2","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2",56901,"12","n/a","n/a","6.50e-17","11.500"
8939,"3'-phosphoadenosine 5'-phosphosulfate synthase 2",8939,"PAPSS2","3'-phosphoadenosine 5'-phosphosulfate synthase 2",9060,"10","n/a","n/a","1.80e-46","11.489"
5086,"procollagen C-endopeptidase enhancer",5086,"PCOLCE","procollagen C-endopeptidase enhancer",5118,"7","n/a","n/a","8.73e-19","11.415"
36223,"olfactomedin-like 3",36223,"OLFML3","olfactomedin-like 3",56944,"1","n/a","n/a","6.13e-31","11.374"
3057,"complement factor H",3057,"CFH","complement factor H",3075,"1","n/a","n/a","1.29e-34","11.211"
3890,"laminin, gamma 1 (formerly LAMB2)",3890,"LAMC1","laminin, gamma 1 (formerly LAMB2)",3915,"1","n/a","n/a","7.32e-36","11.200"
36190,"chromosome 21 open reading frame 7",36190,"C21orf7","chromosome 21 open reading frame 7",56911,"21","n/a","n/a","9.97e-29","11.154"
55615,"multimerin 2",55615,"MMRN2","multimerin 2",79812,"10","n/a","n/a","1.55e-37","10.787"
33858,"delta-like 4 (Drosophila)",33858,"DLL4","delta-like 4 (Drosophila)",54567,"15","n/a","n/a","2.04e-32","10.702"
25652,"olfactomedin-like 2B",25652,"OLFML2B","olfactomedin-like 2B",25903,"1","n/a","n/a","2.90e-23","10.674"
5318,"phospholamban",5318,"PLN","phospholamban",5350,"6","n/a","n/a","3.79e-15","10.566"
3885,"laminin, alpha 4",3885,"LAMA4","laminin, alpha 4",3910,"6","n/a","n/a","4.44e-45","10.499"
3026,"hemoglobin, beta",3026,"HBB","hemoglobin, beta",3043,"11","n/a","n/a","3.13e-10","10.433"
36793,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",36793,"HECW2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",57520,"2","n/a","n/a","8.59e-40","10.419"
10997,"protein tyrosine phosphatase type IVA, member 3",10997,"PTP4A3","protein tyrosine phosphatase type IVA, member 3",11156,"8","n/a","n/a","1.56e-24","10.345"
30815,"proline rich 16",30815,"PRR16","proline rich 16",51334,"5","n/a","n/a","1.17e-32","10.330"
57885,"coiled-coil domain containing 3",57885,"CCDC3","coiled-coil domain containing 3",83643,"10","n/a","n/a","5.24e-34","10.294"
2330,"folate hydrolase (prostate-specific membrane antigen) 1",2330,"FOLH1","folate hydrolase (prostate-specific membrane antigen) 1",2346,"11","n/a","n/a","5.35e-38","10.152"
7015,"thrombospondin 1",7015,"THBS1","thrombospondin 1",7057,"15","n/a","n/a","4.86e-16","10.122"
8585,"phosphodiesterase 5A, cGMP-specific",8585,"PDE5A","phosphodiesterase 5A, cGMP-specific",8654,"4","n/a","n/a","3.67e-38","10.051"
1284,"collagen, type VI, alpha 3",1284,"COL6A3","collagen, type VI, alpha 3",1293,"2","n/a","n/a","3.34e-09","9.967"
953,"CD40 molecule, TNF receptor superfamily member 5",953,"CD40","CD40 molecule, TNF receptor superfamily member 5",958,"20","n/a","n/a","2.72e-24","9.869"
157122035,"uncharacterized LOC100506303",157122035,"LOC100506303","uncharacterized LOC100506303",100506303,"14","n/a","n/a","1.03e-17","9.803"
157123285,"uncharacterized LOC100507286",157123285,"LOC100507286","uncharacterized LOC100507286",100507286,"2","n/a","n/a","3.43e-27","9.771"
57288,"limb bud and heart development homolog (mouse)",57288,"LBH","limb bud and heart development homolog (mouse)",81606,"2","n/a","n/a","5.00e-37","9.658"
6984,"nuclear receptor subfamily 2, group F, member 2",6984,"NR2F2","nuclear receptor subfamily 2, group F, member 2",7026,"15","n/a","n/a","1.40e-37","9.588"
76597,"long intergenic non-protein coding RNA 152",76597,"LINC00152","long intergenic non-protein coding RNA 152",112597,"2","n/a","n/a","1.93e-33","9.539"
55433,"chromosome 1 open reading frame 54",55433,"C1orf54","chromosome 1 open reading frame 54",79630,"1","n/a","n/a","7.17e-26","9.500"
998,"cadherin 5, type 2 (vascular endothelium)",998,"CDH5","cadherin 5, type 2 (vascular endothelium)",1003,"16","n/a","n/a","3.22e-44","9.444"
630,"biglycan",630,"BGN","biglycan",633,"X","n/a","n/a","1.04e-12","9.418"
81729,"GTPase, IMAP family member 7",81729,"GIMAP7","GTPase, IMAP family member 7",168537,"7","n/a","n/a","2.02e-21","9.221"
9275,"Rho GTPase activating protein 29",9275,"ARHGAP29","Rho GTPase activating protein 29",9411,"1","n/a","n/a","1.39e-34","9.211"
10857,"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3",10857,"KDELR3","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3",11015,"22","n/a","n/a","4.75e-36","9.195"
143205,"glutathione peroxidase 8 (putative)",143205,"GPX8","glutathione peroxidase 8 (putative)",493869,"5","n/a","n/a","1.25e-43","9.187"
55455,"transmembrane protein 204",55455,"TMEM204","transmembrane protein 204",79652,"16","n/a","n/a","9.58e-33","9.090"
55545,"chromosome X open reading frame 36",55545,"CXorf36","chromosome X open reading frame 36",79742,"X","n/a","n/a","2.22e-38","8.955"
394,"Rho GDP dissociation inhibitor (GDI) beta",394,"ARHGDIB","Rho GDP dissociation inhibitor (GDI) beta",397,"12","n/a","n/a","7.51e-28","8.934"
1881,"extracellular matrix protein 1",1881,"ECM1","extracellular matrix protein 1",1893,"1","n/a","n/a","6.39e-28","8.922"
7079,"claudin 5",7079,"CLDN5","claudin 5",7122,"22","n/a","n/a","3.04e-15","8.908"
6741,"stanniocalcin 1",6741,"STC1","stanniocalcin 1",6781,"8","n/a","n/a","5.01e-15","8.902"
33829,"roundabout, axon guidance receptor, homolog 4 (Drosophila)",33829,"ROBO4","roundabout, axon guidance receptor, homolog 4 (Drosophila)",54538,"11","n/a","n/a","2.45e-31","8.881"
3228,"hydroxyprostaglandin dehydrogenase 15-(NAD)",3228,"HPGD","hydroxyprostaglandin dehydrogenase 15-(NAD)",3248,"4","n/a","n/a","1.00e-11","8.879"
3734,"potassium inwardly-rectifying channel, subfamily J, member 2",3734,"KCNJ2","potassium inwardly-rectifying channel, subfamily J, member 2",3759,"17","n/a","n/a","6.73e-16","8.864"
2291,"forkhead box S1",2291,"FOXS1","forkhead box S1",2307,"20","n/a","n/a","1.42e-20","8.859"
56555,"collagen, type XVIII, alpha 1",56555,"COL18A1","collagen, type XVIII, alpha 1",80781,"21","n/a","n/a","1.51e-19","8.842"
636,"PR domain containing 1, with ZNF domain",636,"PRDM1","PR domain containing 1, with ZNF domain",639,"6","n/a","n/a","1.85e-40","8.790"
57277,"apolipoprotein L domain containing 1",57277,"APOLD1","apolipoprotein L domain containing 1",81575,"12","n/a","n/a","2.91e-44","8.769"
3646,"immunoglobulin superfamily containing leucine-rich repeat",3646,"ISLR","immunoglobulin superfamily containing leucine-rich repeat",3671,"15","n/a","n/a","1.30e-15","8.671"
91,"activin A receptor type II-like 1",91,"ACVRL1","activin A receptor type II-like 1",94,"12","n/a","n/a","6.86e-23","8.595"
4086,"melanoma antigen family A, 12",4086,"MAGEA12","melanoma antigen family A, 12",4111,"X","n/a","n/a","2.02e-15","8.537"
5196,"placental growth factor",5196,"PGF","placental growth factor",5228,"14","n/a","n/a","4.35e-23","8.529"
55588,"RERG/RAS-like",55588,"RERGL","RERG/RAS-like",79785,"12","n/a","n/a","6.24e-10","8.510"
56111,"platelet derived growth factor D",56111,"PDGFD","platelet derived growth factor D",80310,"11","n/a","n/a","3.58e-20","8.488"
1479,"connective tissue growth factor",1479,"CTGF","connective tissue growth factor",1490,"6","n/a","n/a","3.97e-27","8.403"
157120993,"uncharacterized LOC100505495",157120993,"LOC100505495","uncharacterized LOC100505495",100505495,"19","n/a","n/a","2.13e-14","8.354"
4046,"transmembrane 4 L six family member 1",4046,"TM4SF1","transmembrane 4 L six family member 1",4071,"3","n/a","n/a","5.84e-33","8.320"
7006,"transforming growth factor, beta receptor II (70/80kDa)",7006,"TGFBR2","transforming growth factor, beta receptor II (70/80kDa)",7048,"3","n/a","n/a","3.20e-42","8.277"
2134,"coagulation factor II (thrombin) receptor",2134,"F2R","coagulation factor II (thrombin) receptor",2149,"5","n/a","n/a","3.13e-33","8.274"
2280,"forkhead box C1",2280,"FOXC1","forkhead box C1",2296,"6","n/a","n/a","2.20e-37","8.274"
1788,"dipeptidase 1 (renal)",1788,"DPEP1","dipeptidase 1 (renal)",1800,"16","n/a","n/a","2.72e-10","8.253"
3409,"interferon, alpha-inducible protein 27",3409,"IFI27","interferon, alpha-inducible protein 27",3429,"14","n/a","n/a","7.11e-23","8.241"
621,"bradykinin receptor B2",621,"BDKRB2","bradykinin receptor B2",624,"14","n/a","n/a","1.92e-14","8.203"
1395,"hyaluronan and proteoglycan link protein 1",1395,"HAPLN1","hyaluronan and proteoglycan link protein 1",1404,"5","n/a","n/a","9.51e-14","8.129"
7003,"transforming growth factor, beta-induced, 68kDa",7003,"TGFBI","transforming growth factor, beta-induced, 68kDa",7045,"5","n/a","n/a","1.40e-23","8.104"
90333,"STEAP family member 1B",90333,"STEAP1B","STEAP family member 1B",256227,"7","n/a","n/a","2.29e-17","8.078"
942,"CD34 molecule",942,"CD34","CD34 molecule",947,"1","n/a","n/a","1.16e-16","8.046"
8744,"inositol polyphosphate-4-phosphatase, type II, 105kDa",8744,"INPP4B","inositol polyphosphate-4-phosphatase, type II, 105kDa",8821,"4","n/a","n/a","2.13e-21","8.021"
6800,"supervillin",6800,"SVIL","supervillin",6840,"10","n/a","n/a","4.56e-30","7.999"
2107,"MDS1 and EVI1 complex locus",2107,"MECOM","MDS1 and EVI1 complex locus",2122,"3","n/a","n/a","7.56e-29","7.951"
4212,"microfibrillar-associated protein 2",4212,"MFAP2","microfibrillar-associated protein 2",4237,"1","n/a","n/a","4.84e-14","7.949"
26890,"filamin A interacting protein 1",26890,"FILIP1","filamin A interacting protein 1",27145,"6","n/a","n/a","3.24e-29","7.942"
9605,"phosphatase and actin regulator 2",9605,"PHACTR2","phosphatase and actin regulator 2",9749,"6","n/a","n/a","2.91e-36","7.934"
5443,"protein phosphatase, EF-hand calcium binding domain 1",5443,"PPEF1","protein phosphatase, EF-hand calcium binding domain 1",5475,"X","n/a","n/a","1.88e-19","7.876"
109790,"transmembrane protein 173",109790,"TMEM173","transmembrane protein 173",340061,"5","n/a","n/a","9.23e-22","7.861"
110359,"family with sequence similarity 70, member B",110359,"FAM70B","family with sequence similarity 70, member B",348013,"13","n/a","n/a","9.07e-20","7.802"
2007,"endoglin",2007,"ENG","endoglin",2022,"9","n/a","n/a","5.27e-19","7.698"
2063,"v-ets erythroblastosis virus E26 oncogene homolog (avian)",2063,"ERG","v-ets erythroblastosis virus E26 oncogene homolog (avian)",2078,"21","n/a","n/a","3.01e-46","7.688"
90308,"B-cell CLL/lymphoma 6, member B",90308,"BCL6B","B-cell CLL/lymphoma 6, member B",255877,"17","n/a","n/a","2.56e-30","7.678"
157121161,"uncharacterized LOC100505634",157121161,"LOC100505634","uncharacterized LOC100505634",100505634,"2","n/a","n/a","1.75e-26","7.594"
999,"cadherin 6, type 2, K-cadherin (fetal kidney)",999,"CDH6","cadherin 6, type 2, K-cadherin (fetal kidney)",1004,"5","n/a","n/a","7.63e-31","7.589"
60315,"Rho GTPase activating protein 18",60315,"ARHGAP18","Rho GTPase activating protein 18",93663,"6","n/a","n/a","1.53e-26","7.574"
3335,"5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled",3335,"HTR1F","5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled",3355,"3","n/a","n/a","2.88e-18","7.548"
10120,"receptor (G protein-coupled) activity modifying protein 2",10120,"RAMP2","receptor (G protein-coupled) activity modifying protein 2",10266,"17","n/a","n/a","7.40e-28","7.546"
10397,"protein C receptor, endothelial",10397,"PROCR","protein C receptor, endothelial",10544,"20","n/a","n/a","8.35e-33","7.539"
5560,"protein kinase, cGMP-dependent, type I",5560,"PRKG1","protein kinase, cGMP-dependent, type I",5592,"10","n/a","n/a","1.05e-22","7.538"
1624,"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",1624,"ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",1636,"17","n/a","n/a","2.73e-16","7.485"
